PPG,HR,SPO2
53,92,99
49,92,99
46,92,99
43,92,99
42,92,99
42,92,99
42,92,99
43,92,99
43,92,99
44,92,99
43,92,99
42,92,99
41,92,99
40,92,99
38,92,99
36,92,99
34,92,99
32,92,99
30,92,99
29,92,99
28,92,99
27,92,99
26,92,99
26,92,99
26,92,99
26,92,99
26,92,99
26,92,99
27,92,99
27,92,99
27,92,99
27,92,99
26,92,99
45,92,99
54,92,99
62,92,99
68,92,99
72,92,99
72,92,99
70,92,99
67,92,99
63,92,99
58,92,99
54,92,99
50,92,99
46,92,99
46,92,99
46,92,99
43,92,99
43,92,99
43,92,99
43,92,99
44,92,99
44,92,99
44,92,99
43,92,99
41,92,99
40,92,99
38,92,99
36,92,99
33,92,99
31,92,99
29,92,99
28,92,99
26,92,99
25,92,99
24,92,99
23,92,99
23,92,99
23,92,99
23,92,99
23,92,99
23,92,99
23,92,99
22,92,99
22,92,99
22,92,99
22,92,99
24,92,99
28,92,99
34,92,99
42,92,99
51,92,99
60,92,99
67,92,99
72,92,99
73,92,99
72,92,99
69,92,99
65,92,99
61,92,99
56,92,99
52,92,99
49,92,99
46,92,99
45,92,99
44,92,99
44,92,99
45,92,99
45,92,99
45,92,99
45,92,99
44,92,99
43,92,99
43,92,99
40,92,99
38,92,99
38,92,99
38,92,99
34,92,99
31,92,99
31,92,99
28,92,99
27,92,99
27,92,99
25,92,99
24,92,99
24,92,99
23,92,99
23,92,99
23,92,99
23,92,99
23,92,99
23,92,99
24,92,99
28,92,99
33,92,99
40,92,99
49,92,99
58,92,99
65,92,99
71,92,99
73,92,99
72,92,99
70,92,99
66,92,99
61,92,99
56,92,99
52,92,99
48,92,99
45,92,99
43,92,99
43,92,99
43,92,99
43,92,99
44,92,99
44,92,99
45,92,99
44,92,99
43,92,99
42,92,99
40,92,99
39,92,99
36,92,99
34,92,99
32,92,99
30,92,99
28,92,99
27,92,99
26,92,99
25,92,99
24,92,99
23,92,99
23,92,99
23,92,99
22,92,99
22,92,99
22,92,99
22,92,99
22,92,99
22,92,99
30,92,99
37,92,99
44,92,99
53,92,99
62,92,99
68,92,99
71,92,99
72,92,99
69,92,99
66,92,99
61,92,99
56,92,99
52,92,99
47,92,99
44,92,99
42,92,99
41,92,99
40,92,99
41,92,99
42,92,99
42,92,99
42,92,99
42,92,99
41,92,99
40,92,99
39,92,99
37,92,99
35,92,99
32,92,99
30,92,99
29,92,99
27,92,99
26,92,99
24,92,99
24,92,99
23,92,99
23,92,99
23,92,99
23,92,99
23,92,99
24,92,99
25,92,99
29,92,99
35,92,99
42,92,99
51,92,99
59,92,99
65,92,99
69,92,99
70,92,99
68,92,99
64,92,99
60,92,99
55,92,99
50,92,99
46,92,99
42,92,99
40,92,99
40,90,98
40,90,98
39,90,98
40,90,98
41,90,98
42,90,98
42,90,98
42,90,98
42,90,98
41,90,98
40,90,98
38,90,98
36,90,98
34,90,98
32,90,98
30,90,98
29,90,98
27,90,98
26,90,98
25,90,98
25,90,98
24,90,98
24,90,98
24,90,98
25,90,98
27,90,98
31,90,98
37,90,98
44,90,98
53,90,98
61,90,98
68,90,98
68,90,98
74,90,98
72,90,98
72,90,98
65,90,98
60,90,98
60,90,98
50,90,98
47,90,98
47,90,98
42,90,98
42,90,98
42,90,98
44,90,98
45,90,98
46,90,98
47,90,98
46,90,98
45,90,98
43,90,98
41,90,98
40,90,98
38,90,98
36,90,98
34,90,98
32,90,98
31,90,98
29,90,98
29,90,98
29,89,98
28,89,98
27,89,98
27,89,98
26,89,98
26,89,98
28,89,98
31,89,98
36,89,98
42,89,98
51,89,98
60,89,98
68,89,98
73,89,98
76,89,98
75,89,98
72,89,98
68,89,98
63,89,98
58,89,98
53,89,98
49,89,98
47,89,98
